qf,Approach,estimate__,lower__,upper__
-0.00820275925595948,IR,0.3030587892405484,0.27762950874179476,0.3299271445414679
-0.00820275925595948,VSM,0.35434141781442063,0.3240925703917995,0.3861039254956901
-0.00820275925595948,LSI,0.3867004031845407,0.3555200085852479,0.41747845192849414
0.033067373250586285,FTLR,0.3752207588499614,0.34639981936396247,0.40443395529146714
0.033067373250586285,LiSSA,0.395847897244069,0.3669102878472325,0.4246592680893324
0.033067373250586285,IR,0.30260483126992677,0.2770298279388581,0.32974079346902535
0.033067373250586285,VSM,0.35492755655991326,0.32454598181274713,0.3866445847794204
0.033067373250586285,LSI,0.38641210168578966,0.35510037902617797,0.4172364883425284
0.07433750575713205,FTLR,0.3749939161473109,0.3460281815417306,0.40420871028563654
0.07433750575713205,LiSSA,0.39595889352304753,0.36687562403853735,0.4247704817832745
0.07433750575713205,IR,0.3022680272540444,0.27657381315995533,0.3295146802564671
0.07433750575713205,VSM,0.3554772690945475,0.3250543480604859,0.38746946902137586
0.07433750575713205,LSI,0.3861066544871682,0.35474457007345384,0.41682885625346355
0.11560763826367781,FTLR,0.3747726626740193,0.3455159482207514,0.40416483430251815
0.11560763826367781,LiSSA,0.39609708568276936,0.3668367221363295,0.4252074206491586
0.11560763826367781,IR,0.3018690581607147,0.27581624921031517,0.3291832327924498
0.11560763826367781,VSM,0.35598752501795694,0.3255029586066768,0.38813663452740726
0.11560763826367781,LSI,0.3857468026504993,0.354395729939678,0.41652936244735483
0.15687777077022358,FTLR,0.3745564299998778,0.3452042832769324,0.4040099013145734
0.15687777077022358,LiSSA,0.39617155650657054,0.36681405656104016,0.4254778889604868
0.15687777077022358,IR,0.30144983804575665,0.27528360562851945,0.3290438751631654
0.15687777077022358,VSM,0.35652540650108583,0.3259403290421818,0.38877646576939906
0.15687777077022358,LSI,0.38541432609827814,0.3538916456654372,0.41633056918318173
0.19814790327676934,FTLR,0.37433778781096144,0.3447063168196733,0.40411153487322704
0.19814790327676934,LiSSA,0.39627088720891857,0.36660353762950915,0.4257565696010804
0.19814790327676934,IR,0.301103210957693,0.2745197759204999,0.32882915884889563
0.19814790327676934,VSM,0.3570224721133195,0.32620506105734526,0.3895560489197394
0.19814790327676934,LSI,0.3850846585779294,0.35355097761107196,0.41613763374808255
0.239418035783315,FTLR,0.3741182117431927,0.3442858784723022,0.40408573632765465
0.239418035783315,LiSSA,0.3963949036554243,0.3665599303049206,0.4259968766971666
0.239418035783315,IR,0.3007383455094723,0.27402994340344394,0.3287075555287799
0.239418035783315,VSM,0.3575225739919683,0.32641372389628553,0.39042678081452376
0.239418035783315,LSI,0.38473515057492724,0.35317546761242274,0.4159003174180077
0.2806881682898609,FTLR,0.3738467186236736,0.3437569735435352,0.4040627369694765
0.2806881682898609,LiSSA,0.3964569419994471,0.36654672872592864,0.42651067610630433
0.2806881682898609,IR,0.30037666225449056,0.2733293228439261,0.32858159174225016
0.2806881682898609,VSM,0.35811234081996324,0.3265479776407409,0.391134090276453
0.2806881682898609,LSI,0.38441768794516884,0.35274588308937693,0.4158019117736816
0.32195830079640675,FTLR,0.3736410891578297,0.3433162849785205,0.404078600914826
0.32195830079640675,LiSSA,0.39650469472452343,0.3665134480734801,0.42699973963438687
0.32195830079640675,IR,0.30001254665962174,0.27265618647932083,0.3284515291081706
0.32195830079640675,VSM,0.3586550816400359,0.3268151206386221,0.391668229075576
0.32195830079640675,LSI,0.38412046733396443,0.35231843245582956,0.4157443662705285
0.3632284333029524,FTLR,0.37337978671732397,0.34298545816705356,0.40405805814025597
0.3632284333029524,LiSSA,0.3966132621584013,0.3661910284386988,0.4274839632533495
0.3632284333029524,IR,0.29965883885163325,0.2719819172223963,0.32832359552358925
0.3632284333029524,VSM,0.35921102086686063,0.32710116594801525,0.3925180824410165
0.3632284333029524,LSI,0.3837629632480193,0.35164871857189084,0.415599965641127
0.40449856580949806,FTLR,0.3731401180592643,0.3425340400576831,0.40411001326371543
0.40449856580949806,LiSSA,0.396714892977555,0.3661338647821227,0.4279248120896209
0.40449856580949806,IR,0.29926656549020164,0.27128858234461295,0.3281692915764296
0.40449856580949806,VSM,0.3597430226186019,0.3273883798204179,0.3932194355189764
0.40449856580949806,LSI,0.383387036275824,0.3510434491638072,0.41540673243852366
0.44576869831604393,FTLR,0.37289762182178765,0.34185508667697057,0.4041202674020252
0.44576869831604393,LiSSA,0.39682486041839204,0.366093896212814,0.42827924425414265
0.44576869831604393,IR,0.29883069425615977,0.27067441997755376,0.32795990918834445
0.44576869831604393,VSM,0.3602872673058505,0.32748610011631807,0.3941482712650685
0.44576869831604393,LSI,0.38305826620307165,0.3503810419999095,0.4152449101424264
0.4870388308225898,FTLR,0.37272066039456647,0.341275243809838,0.4041354028591664
0.4870388308225898,LiSSA,0.39683859000321287,0.36582614358194554,0.42855115063857707
0.4870388308225898,IR,0.29840551887684325,0.26987932492909006,0.3280521105868116
0.4870388308225898,VSM,0.3608711388774632,0.32784366718887764,0.3948530543992323
0.4870388308225898,LSI,0.38268735091214634,0.3496468666544697,0.41522462068766836
0.5283089633291355,FTLR,0.3724908986360141,0.34064461225392123,0.4042540186592984
0.5283089633291355,LiSSA,0.3969046420254907,0.36558895306513184,0.4288596493345944
0.5283089633291355,IR,0.2980289472875777,0.2691886748714698,0.3279885578136093
0.5283089633291355,VSM,0.36143926135348137,0.32801239334858234,0.39579414327598883
0.5283089633291355,LSI,0.38231416194536205,0.349001538756438,0.4152994182841888
