qf,Approach,estimate__,lower__,upper__
0.12121212121212122,LiSSA,0.3976551207856218,0.3694398239708578,0.426930039428108
0.12121212121212122,IR,0.30616158263437193,0.2796140408324471,0.33299969846307953
0.12121212121212122,VSM,0.3640447920484558,0.3320155263700601,0.39671760176181303
0.12121212121212122,LSI,0.39152864818592337,0.36061556870518474,0.4237568759797693
0.13131313131313133,FTLR,0.3803934913930201,0.3509376517452488,0.40944824960499626
0.13131313131313133,LiSSA,0.3978224460394087,0.3694718736717081,0.42751411020630087
0.13131313131313133,IR,0.3063312969676036,0.27963308768309303,0.3334096547921458
0.13131313131313133,VSM,0.36505784916158684,0.3326581872015744,0.39811947889765775
0.13131313131313133,LSI,0.39213832539076776,0.3610580900922786,0.4245616298578767
0.14141414141414144,FTLR,0.3809781469969727,0.3513633246088819,0.4101618666450285
0.14141414141414144,LiSSA,0.3980510700534664,0.3694020227970943,0.42795246861867453
0.14141414141414144,IR,0.30651523118628066,0.2795911525617468,0.3338566573971572
0.14141414141414144,VSM,0.36612608476310504,0.33345222031299165,0.3996881187821837
0.14141414141414144,LSI,0.3927240606557576,0.36126301706669117,0.42541581840446946
0.15151515151515152,FTLR,0.38153817957381253,0.351653289178003,0.4108316473298564
0.15151515151515152,LiSSA,0.39826566049901624,0.3692252315225333,0.42837991917848744
0.15151515151515152,IR,0.30667188011860164,0.2795107318366874,0.3343108527068499
0.15151515151515152,VSM,0.36717501409907305,0.3339100354580613,0.40118834589349234
0.15151515151515152,LSI,0.3933288220176707,0.36139938469903515,0.4264286057049604
0.16161616161616163,FTLR,0.38205064071307326,0.35203239827904564,0.41159206816894944
0.16161616161616163,LiSSA,0.39842547743274315,0.3690490107928206,0.4290129569779281
0.16161616161616163,IR,0.30684879332409276,0.2793150217453514,0.33469605647170514
0.16161616161616163,VSM,0.368234653003851,0.33431788503212606,0.40275286124966747
0.16161616161616163,LSI,0.3939735391281255,0.3617219798259289,0.42742627809639616
0.17171717171717174,FTLR,0.38265297764355144,0.35251580551544537,0.41228429925361665
0.17171717171717174,LiSSA,0.3985856431122682,0.368978996438826,0.42954407655611876
0.17171717171717174,IR,0.307048612511814,0.2791724832053321,0.33531692136111246
0.17171717171717174,VSM,0.3692315482140198,0.3345357661666941,0.4041358531210599
0.17171717171717174,LSI,0.39455719028069586,0.3618142354063447,0.42849246899412546
0.18181818181818182,FTLR,0.38320128532382863,0.35286464758335273,0.41298359877822954
0.18181818181818182,LiSSA,0.39880349705203844,0.3688393838627059,0.43014460165251145
0.18181818181818182,IR,0.30726028017257645,0.27900882273149374,0.3357853468232114
0.18181818181818182,VSM,0.3702473483315201,0.33496423298560657,0.4055247270439296
0.18181818181818182,LSI,0.3952071541244932,0.3619889352973715,0.42959888881231933
0.19191919191919193,FTLR,0.383742010788771,0.3532597528844012,0.41362327884921657
0.19191919191919193,LiSSA,0.39900462367760475,0.36853864756490906,0.4308326252147027
0.19191919191919193,IR,0.30745669860723523,0.2789301785498757,0.33638912702092366
