alternative,mean,lower,upper,metric
0.31313131313131315,0.374927841400638,0.33556752664276146,0.4169617412599397,Precision
0.32323232323232326,0.3752294295003765,0.3356059505098357,0.4175459426575575,Precision
0.33333333333333337,0.37559150215214787,0.335616624759111,0.4181045080661891,Precision
0.3434343434343435,0.37593042593933856,0.3359087459919421,0.41877801949703963,Precision
0.3535353535353536,0.3762779238727505,0.33603659754763204,0.4193818625092164,Precision
0.36363636363636365,0.3766616065649885,0.33623645137084385,0.4200413771636524,Precision
0.37373737373737376,0.377036449938147,0.3364550111444215,0.4208183918520173,Precision
0.38383838383838387,0.3774172977356669,0.33668946033175573,0.42157266864619974,Precision
0.393939393939394,0.3777571645430451,0.33677696977031524,0.4222468971950112,Precision
0.4040404040404041,0.3781319409759544,0.3370284597595534,0.42279314631503834,Precision
0.4141414141414142,0.37848878380624223,0.3371964132892689,0.4235248422238703,Precision
0.42424242424242425,0.37880195067102884,0.33739525483356864,0.42438040157945384,Precision
0.43434343434343436,0.3791807955205939,0.3373870882479885,0.42523498384569164,Precision
0.4444444444444445,0.3795881395379995,0.3374965735898679,0.42611461137687945,Precision
0.4545454545454546,0.37996830525497577,0.33760824646112747,0.4268012636830152,Precision
0.4646464646464647,0.3803847909127831,0.3377378955911019,0.4275603635391158,Precision
0.4747474747474748,0.3807034885430596,0.3377953753528091,0.4283104775041017,Precision
0.48484848484848486,0.381084429221652,0.3377439716628558,0.4291605504444119,Precision
0.494949494949495,0.38149154213395486,0.337749172642193,0.4299658864171227,Precision
0.5050505050505051,0.3819579795587145,0.33772788172705237,0.43080472994569735,Precision
0.5151515151515152,0.3823558235344148,0.337676114387518,0.43153329196635476,Precision
0.5252525252525253,0.38265601480355277,0.33784117024688903,0.43232771319186547,Precision
0.5353535353535354,0.38300404135057553,0.3378466310870809,0.43311365903023463,Precision
0.5454545454545455,0.38338380890989227,0.33787023684959516,0.433977401328264,Precision
0.5555555555555556,0.3838030476921638,0.3380437354779017,0.43479247631355866,Precision
0.5656565656565657,0.3841661217866007,0.33792950355212154,0.4355559455726422,Precision
0.5757575757575758,0.38450338836202114,0.33799611415359965,0.4363955624930433,Precision
0.5858585858585859,0.3848753377392472,0.33832208972383354,0.4371948002403243,Precision
0.595959595959596,0.38527241813692936,0.3383497797804491,0.4380229728380188,Precision
0.6060606060606061,0.3856765676623817,0.33854033040351406,0.4388422824977824,Precision
0.6161616161616162,0.38600427375187607,0.33853299368340284,0.43971007179687677,Precision
0.6262626262626263,0.3863570001989238,0.3383537014442942,0.4406676159178826,Precision
0.6363636363636365,0.38674111390941757,0.33838531186910237,0.44161655740158823,Precision
0.6464646464646465,0.38718534811052874,0.33823500078886,0.4423115896441294,Precision
0.6565656565656566,0.3875785060663314,0.3383064112702275,0.4432688479115731,Precision
0.6666666666666667,0.3879285039623446,0.33844587850053803,0.44417978439602757,Precision
0.6767676767676768,0.3883018470182489,0.33841936784797944,0.44520942443749684,Precision
0.686868686868687,0.3886526332620881,0.33857463809190597,0.4459663022483202,Precision
0.696969696969697,0.388952326352088,0.3385627532367099,0.44692279704325044,Precision
0.7070707070707072,0.3893445929550824,0.33867915843520474,0.4477789527243434,Precision
0.7171717171717172,0.3897406658669169,0.3386713613393284,0.44846638651219223,Precision
0.7272727272727273,0.39013985626433734,0.3386132631059853,0.44940089237580033,Precision
0.7373737373737375,0.3905282168514897,0.33848872518994694,0.4503727507919514,Precision
0.7474747474747475,0.3909617845634058,0.33849098752320345,0.45133316812503865,Precision
0.7575757575757577,0.39135419859455545,0.3384763974224377,0.45212356640911583,Precision
0.7676767676767677,0.3917195353270718,0.3384603646396364,0.4531058044820366,Precision
0.7777777777777778,0.3920935020369986,0.33831082227446546,0.4541717538483994,Precision
0.787878787878788,0.39248602648353464,0.3382354514210745,0.45514097124578456,Precision
0.797979797979798,0.39290512943883604,0.3382083106316234,0.456035300124416,Precision
0.8080808080808082,0.3932870540747312,0.3381017271635397,0.45688960706460596,Precision
0.8181818181818182,0.3936779808002734,0.33807725989012793,0.45782240370704036,Precision
0.8282828282828284,0.3940450808680267,0.3379596832283131,0.45878564104333536,Precision
0.8383838383838385,0.39443109717264535,0.3379914832464234,0.45966277652625326,Precision
0.8484848484848485,0.39476427354359833,0.33783090224975276,0.4606932826282519,Precision
0.8585858585858587,0.39512688253554995,0.33772991633116517,0.46175626708968154,Precision
0.8686868686868687,0.39547610437845804,0.3377999557092641,0.46258382116608904,Precision
0.8787878787878789,0.3958866789183728,0.3378123616639156,0.4635557165991826,Precision
0.888888888888889,0.39631251249777655,0.3376185393931661,0.46444426861555127,Precision
0.8989898989898991,0.39669947737342504,0.33763042245882297,0.465487572832627,Precision
0.9090909090909092,0.3970752715815925,0.33749484503716554,0.4664157735809139,Precision
0.9191919191919192,0.39744545005106713,0.33744389108569756,0.46737584793314413,Precision
0.9292929292929294,0.3977962963973224,0.3373920097638629,0.46849245936918993,Precision
0.9393939393939394,0.39821327533011824,0.3373174128255918,0.4693272209022625,Precision
0.9494949494949496,0.39862811759895994,0.3371903814232023,0.47040507023110645,Precision
0.9595959595959597,0.39899279674449384,0.33705250474474996,0.4712863294009388,Precision
0.9696969696969697,0.3994071457220193,0.33692207259113355,0.47221112266473764,Precision
0.9797979797979799,0.3997780106495598,0.3367727188900057,0.47317372539830077,Precision
0.98989898989899,0.4001097244031129,0.3365277897700022,0.4741375006568597,Precision
1,0.40052203841486894,0.33632883555737536,0.4751573568700151,Precision
